Date,Close,Volume,Close:10,Date
2022-01-03,2403.85009765625,2502073,,2022-01-03
2022-01-04,2458.10009765625,5006225,,2022-01-04
2022-01-05,2469.60009765625,5373618,,2022-01-05
2022-01-06,2416.5,6667483,,2022-01-06
2022-01-07,2436.0,6051239,,2022-01-07
2022-01-10,2438.0,4267365,,2022-01-10
2022-01-11,2455.550048828125,7478681,,2022-01-11
2022-01-12,2521.10009765625,6830402,,2022-01-12
2022-01-13,2535.300048828125,5471871,,2022-01-13
2022-01-14,2539.0,9197773,,2022-01-14
2022-01-17,2552.25,3708822,,2022-01-17
2022-01-18,2521.800048828125,2868235,,2022-01-18
2022-01-19,2521.60009765625,4502155,,2022-01-19
2022-01-20,2477.449951171875,7612203,,2022-01-20
2022-01-21,2477.85009765625,6155759,,2022-01-21
2022-01-24,2377.89990234375,10092511,,2022-01-24
2022-01-25,2373.25,11311456,,2022-01-25
2022-01-27,2338.10009765625,9239426,,2022-01-27
2022-01-28,2335.85009765625,6769154,,2022-01-28
2022-01-31,2386.60009765625,5604308,,2022-01-31
2022-02-01,2378.699951171875,6092033,,2022-02-01
2022-02-02,2383.550048828125,4623163,,2022-02-02
2022-02-03,2352.75,4417864,,2022-02-03
2022-02-04,2331.300048828125,5104761,,2022-02-04
2022-02-07,2317.10009765625,4944725,,2022-02-07
2022-02-08,2356.050048828125,5566080,,2022-02-08
2022-02-09,2383.5,5300891,,2022-02-09
2022-02-10,2381.050048828125,5752361,,2022-02-10
2022-02-11,2376.39990234375,7357863,,2022-02-11
2022-02-14,2338.550048828125,4947109,2421.153369140625,2022-02-14
2022-02-15,2417.949951171875,5174646,2421.6233642578127,2022-02-15
2022-02-16,2412.949951171875,4796294,2420.118359375,2022-02-16
2022-02-17,2443.5,5931774,2419.248356119792,2022-02-17
2022-02-18,2424.39990234375,3126873,2419.511686197917,2022-02-18
2022-02-21,2399.89990234375,5125968,2418.308349609375,2022-02-21
2022-02-22,2389.0,6227901,2416.675016276042,2022-02-22
2022-02-23,2374.050048828125,3373615,2413.958349609375,2022-02-23
2022-02-24,2255.75,11466725,2405.113346354167,2022-02-24
2022-02-25,2283.949951171875,6724094,2396.735009765625,2022-02-25
2022-02-28,2359.550048828125,9828768,2390.7533447265623,2022-02-28
2022-03-02,2398.550048828125,9909226,2385.6300130208333,2022-03-02
2022-03-03,2378.300048828125,4701183,2380.8466796875,2022-03-03
2022-03-04,2325.550048828125,4986814,2374.3116780598957,2022-03-04
2022-03-07,2239.550048828125,8299295,2366.3816813151043,2022-03-07
2022-03-08,2235.5,9825043,2358.3033447265625,2022-03-08
2022-03-09,2354.10009765625,9421163,2357.510017903646,2022-03-09
2022-03-10,2392.25,8297995,2358.143351236979,2022-03-10
2022-03-11,2399.14990234375,5656799,2360.1783447265625,2022-03-11
2022-03-14,2418.85009765625,3849222,2362.9450113932294,2022-03-14
2022-03-15,2363.449951171875,7349740,2362.17333984375,2022-03-15
2022-03-16,2403.35009765625,5145644,2362.995011393229,2022-03-16
2022-03-17,2481.699951171875,9886295,2366.2666748046877,2022-03-17
2022-03-21,2467.39990234375,5537752,2370.088338216146,2022-03-21
2022-03-22,2531.14990234375,10410082,2376.75,2022-03-22
2022-03-23,2539.199951171875,7135797,2384.153328450521,2022-03-23
2022-03-24,2578.64990234375,6077153,2391.5733235677085,2022-03-24
2022-03-25,2595.85009765625,6563676,2398.65166015625,2022-03-25
2022-03-28,2621.949951171875,4564891,2406.6816569010416,2022-03-28
2022-03-29,2622.550048828125,4007695,2414.8866617838544,2022-03-29
2022-03-30,2672.949951171875,7297028,2426.0333251953125,2022-03-30
2022-03-31,2634.75,6102744,2433.2599934895834,2022-03-31
2022-04-01,2655.85009765625,3656408,2441.3566650390626,2022-04-01
2022-04-04,2663.699951171875,3659307,2448.6966634114583,2022-04-04
2022-04-05,2626.050048828125,6068663,2455.4183349609375,2022-04-05
2022-04-06,2619.050048828125,5656703,2462.72333984375,2022-04-06
2022-04-07,2572.85009765625,7151632,2468.8516764322917,2022-04-07
2022-04-08,2615.64990234375,6992874,2476.9050048828126,2022-04-08
2022-04-11,2610.199951171875,4270816,2488.720003255208,2022-04-11
2022-04-12,2561.050048828125,6099986,2497.9566731770833,2022-04-12
2022-04-13,2551.64990234375,4778478,2504.360001627604,2022-04-13
2022-04-18,2543.85009765625,4603103,2509.203336588542,2022-04-18
2022-04-19,2640.800048828125,12064446,2517.953336588542,2022-04-19
2022-04-20,2718.449951171875,11570835,2531.05,2022-04-20
2022-04-21,2782.10009765625,10018531,2549.135001627604,2022-04-21
2022-04-22,2758.800048828125,6947490,2566.578336588542,2022-04-22
2022-04-25,2695.0,7874671,2577.9416666666666,2022-04-25
2022-04-26,2775.64990234375,5643066,2590.7216634114584,2022-04-26
2022-04-27,2778.35009765625,8924920,2603.361669921875,2022-04-27
2022-04-28,2819.85009765625,11820892,2616.728336588542,2022-04-28
2022-04-29,2790.25,8406156,2630.9550048828123,2022-04-29
2022-05-02,2780.449951171875,4369022,2643.525,2022-05-02
2022-05-04,2693.64990234375,8882792,2650.5899983723957,2022-05-04
2022-05-05,2640.89990234375,7942721,2656.373331705729,2022-05-05
2022-05-06,2620.64990234375,9068448,2659.3566650390626,2022-05-06
2022-05-09,2518.300048828125,8345649,2658.6600016276043,2022-05-09
2022-05-10,2474.64990234375,9004636,2655.1933349609376,2022-05-10
2022-05-11,2449.300048828125,7681157,2650.3083333333334,2022-05-11
2022-05-12,2399.39990234375,9456280,2642.889998372396,2022-05-12
2022-05-13,2426.60009765625,8910998,2636.358333333333,2022-05-13
2022-05-16,2427.199951171875,6201594,2628.1666666666665,2022-05-16
2022-05-17,2529.14990234375,7638666,2624.646663411458,2022-05-17
2022-05-18,2538.35009765625,7973235,2620.7299967447916,2022-05-18
2022-05-19,2479.85009765625,6783641,2614.601668294271,2022-05-19
2022-05-20,2624.449951171875,10057508,2614.548331705729,2022-05-20
2022-05-23,2606.89990234375,7039144,2614.1433268229166,2022-05-23
2022-05-24,2615.85009765625,6243086,2615.57666015625,2022-05-24
2022-05-25,2612.0,5867760,2615.4549967447915,2022-05-25
2022-05-26,2587.10009765625,8252551,2614.6850016276044,2022-05-26
2022-05-27,2575.10009765625,7624888,2615.1533365885416,2022-05-27
2022-05-30,2664.800048828125,6393341,2618.925008138021,2022-05-30
2022-05-31,2632.64990234375,32591420,2621.885001627604,2022-05-31
2022-06-01,2633.5,4512079,2621.641666666667,2022-06-01
2022-06-02,2724.300048828125,10211408,2621.836669921875,2022-06-02
2022-06-03,2779.5,11048210,2621.75,2022-06-03
2022-06-06,2767.550048828125,5119488,2622.0416666666665,2022-06-06
2022-06-07,2772.75,5703333,2624.633333333333,2022-06-07
2022-06-08,2724.050048828125,5759172,2622.913338216146,2022-06-08
2022-06-09,2798.75,7973935,2623.5933349609377,2022-06-09
2022-06-10,2714.25,8349943,2620.0733317057293,2022-06-10
2022-06-13,2662.89990234375,8131998,2615.828328450521,2022-06-13
2022-06-14,2628.10009765625,6790653,2610.75,2022-06-14
2022-06-15,2596.300048828125,5166738,2607.5050048828125,2022-06-15
2022-06-16,2560.0,7896943,2604.808341471354,2022-06-16
2022-06-17,2590.0,11286988,2603.7866780598956,2022-06-17
2022-06-20,2543.050048828125,5568825,2604.611678059896,2022-06-20
2022-06-21,2584.10009765625,5408801,2608.260017903646,2022-06-21
2022-06-22,2505.60009765625,4899839,2610.136686197917,2022-06-22
2022-06-23,2464.949951171875,8974475,2612.3216878255207,2022-06-23
2022-06-24,2500.050048828125,6571866,2614.77001953125,2022-06-24
2022-06-27,2492.64990234375,7141493,2616.9516845703124,2022-06-27
2022-06-28,2527.699951171875,6263867,2616.903352864583,2022-06-28
2022-06-29,2580.14990234375,8863172,2618.2966796875,2022-06-29
2022-06-30,2595.64990234375,10666627,2622.156673177083,2022-06-30
2022-07-01,2408.699951171875,37841671,2614.9650065104165,2022-07-01
2022-07-04,2413.699951171875,19317335,2608.525008138021,2022-07-04
2022-07-05,2433.25,8144239,2602.438338216146,2022-07-05
2022-07-06,2411.85009765625,11050026,2595.7666748046877,2022-07-06
2022-07-07,2388.10009765625,10753423,2589.133341471354,2022-07-07
2022-07-08,2391.39990234375,8773162,2583.010001627604,2022-07-08
2022-07-11,2423.89990234375,6390604,2574.9799967447916,2022-07-11
2022-07-12,2420.449951171875,4974502,2567.9066650390623,2022-07-12
2022-07-13,2377.550048828125,6564435,2559.375,2022-07-13
2022-07-14,2397.14990234375,7831798,2548.4699951171874,2022-07-14
2022-07-15,2401.800048828125,4431880,2535.8799967447917,2022-07-15
2022-07-18,2422.25,6996757,2524.3699951171875,2022-07-18
2022-07-19,2437.10009765625,7587006,2513.1816650390624,2022-07-19
2022-07-20,2503.0,11041036,2505.813330078125,2022-07-20
2022-07-21,2486.300048828125,7625468,2495.398331705729,2022-07-21
2022-07-22,2503.10009765625,5062651,2488.360001627604,2022-07-22
2022-07-25,2420.39990234375,10665470,2480.2766682942706,2022-07-25
2022-07-26,2421.5,5216466,2473.389998372396,2022-07-26
2022-07-27,2419.199951171875,3994321,2467.4866617838543,2022-07-27
2022-07-28,2457.10009765625,5766936,2464.0566650390624,2022-07-28
2022-07-29,2509.449951171875,6982808,2461.3716634114585,2022-07-29
2022-08-01,2574.85009765625,7245568,2462.4316650390624,2022-08-01
2022-08-02,2584.64990234375,6423115,2462.449991861979,2022-08-02
2022-08-03,2606.35009765625,6576824,2465.8083251953126,2022-08-03
2022-08-04,2571.89990234375,6676577,2469.373323567708,2022-08-04
2022-08-05,2534.0,6434433,2470.504988606771,2022-08-05
2022-08-08,2567.14990234375,4691228,2472.988321940104,2022-08-08
2022-08-10,2582.5,4949442,2474.814990234375,2022-08-10
2022-08-11,2591.10009765625,3783480,2475.179996744792,2022-08-11
2022-08-12,2633.0,5838244,2476.425,2022-08-12
2022-08-16,2651.300048828125,3049304,2484.511669921875,2022-08-16
2022-08-17,2665.14990234375,3044037,2492.8933349609374,2022-08-17
2022-08-18,2661.300048828125,3419730,2500.4950032552083,2022-08-18
2022-08-19,2613.85009765625,4366123,2507.228336588542,2022-08-19
2022-08-22,2606.60009765625,4371179,2514.511669921875,2022-08-22
2022-08-23,2646.800048828125,4466619,2523.025008138021,2022-08-23
2022-08-24,2639.75,4785579,2530.220011393229,2022-08-24
2022-08-25,2632.050048828125,3632902,2537.2733479817707,2022-08-25
2022-08-26,2618.0,4957449,2545.2883463541666,2022-08-26
2022-08-29,2597.64990234375,9155684,2551.9716796875,2022-08-29
2022-08-30,2637.949951171875,10678670,2559.8433430989585,2022-08-30
2022-09-01,2560.39990234375,9188434,2564.44833984375,2022-09-01
2022-09-02,2530.5,5999196,2567.561669921875,2022-09-02
2022-09-05,2569.800048828125,5227785,2569.788338216146,2022-09-05
2022-09-06,2596.85009765625,5030172,2573.47333984375,2022-09-06
2022-09-07,2581.75,3455942,2576.095003255208,2022-09-07
2022-09-08,2585.39990234375,3256840,2581.595003255208,2022-09-08
2022-09-09,2569.300048828125,3837302,2586.5216715494794,2022-09-09
2022-09-12,2598.050048828125,3431445,2592.4833414713544,2022-09-12
2022-09-13,2619.75,4102114,2597.9050048828126,2022-09-13
2022-09-14,2588.35009765625,4004997,2600.535009765625,2022-09-14
2022-09-15,2562.699951171875,4783723,2600.1300048828125,2022-09-15
2022-09-16,2499.199951171875,9330469,2597.281673177083,2022-09-16
2022-09-19,2502.449951171875,3498286,2593.8183349609376,2022-09-19
2022-09-20,2502.85009765625,3881882,2591.5166748046877,2022-09-20
2022-09-21,2509.75,4249172,2590.7083414713543,2022-09-21
2022-09-22,2486.10009765625,4757219,2588.0066813151043,2022-09-22
2022-09-23,2439.5,4397194,2583.2400146484374,2022-09-23
2022-09-26,2377.35009765625,5759298,2576.1150146484374,2022-09-26
2022-09-27,2396.25,7455448,2568.223347981771,2022-09-27
2022-09-28,2332.449951171875,7844140,2557.595011393229,2022-09-28
2022-09-29,2325.300048828125,6771046,2546.2666829427085,2022-09-29
2022-09-30,2377.75,8589908,2536.8150146484377,2022-09-30
2022-10-03,2369.5,5470030,2528.6700113932293,2022-10-03
2022-10-04,2413.199951171875,4129893,2522.22333984375,2022-10-04
2022-10-06,2422.10009765625,6162021,2514.7333414713544,2022-10-06
2022-10-07,2432.35009765625,3560167,2507.8200113932294,2022-10-07
2022-10-10,2405.800048828125,2921076,2500.2783447265624,2022-10-10
2022-10-11,2357.89990234375,4252803,2491.6083414713544,2022-10-11
2022-10-12,2375.25,3422992,2484.1950113932294,2022-10-12
2022-10-13,2382.800048828125,3382098,2475.6900146484377,2022-10-13
2022-10-14,2370.699951171875,4202459,2469.3666829427084,2022-10-14
2022-10-17,2408.75,7720595,2465.308349609375,2022-10-17
2022-10-18,2451.25,5729899,2461.356681315104,2022-10-18
2022-10-19,2493.89990234375,8882553,2457.925008138021,2022-10-19
2022-10-20,2500.60009765625,4022919,2455.220011393229,2022-10-20
2022-10-21,2471.60009765625,3804352,2451.4266845703123,2022-10-21
2022-10-24,2479.85009765625,1555270,2448.44501953125,2022-10-24
2022-10-25,2441.550048828125,5645639,2443.2283528645835,2022-10-25
2022-10-27,2451.14990234375,5774775,2437.608349609375,2022-10-27
2022-10-28,2526.14990234375,8126824,2435.535009765625,2022-10-28
2022-10-31,2549.60009765625,5731802,2435.098347981771,2022-10-31
2022-11-01,2529.85009765625,6443999,2436.12001953125,2022-11-01
2022-11-02,2545.64990234375,4145144,2437.560017903646,2022-11-02
2022-11-03,2555.14990234375,3089026,2439.3033447265625,2022-11-03
2022-11-04,2592.75,5803737,2442.0700113932294,2022-11-04
2022-11-07,2606.60009765625,5440967,2446.086678059896,2022-11-07
2022-11-09,2604.0,5193814,2451.5700113932294,2022-11-09
2022-11-10,2572.5,2753420,2458.0750081380206,2022-11-10
2022-11-11,2631.800048828125,5681124,2465.9266764322915,2022-11-11
2022-11-14,2619.050048828125,4173395,2475.480013020833,2022-11-14
2022-11-15,2607.300048828125,3270388,2484.8800130208333,2022-11-15
2022-11-16,2592.35009765625,4484007,2492.033349609375,2022-11-16
2022-11-17,2599.050048828125,3074259,2499.685017903646,2022-11-17
2022-11-18,2597.64990234375,2447425,2505.833349609375,2022-11-18
2022-11-21,2550.89990234375,2949108,2510.126676432292,2022-11-21
2022-11-22,2565.050048828125,3051201,2514.550008138021,2022-11-22
2022-11-23,2557.050048828125,2959787,2519.5916748046875,2022-11-23
2022-11-24,2579.10009765625,4333225,2526.9650146484373,2022-11-24
